Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2023-07-19T22:45:00+01:00;19;07;2023;2023-07-19;22:45;810684.2864;508949.4935;207259.4877;62494.7389;1589388.0065
2023-07-21T05:45:00+01:00;21;07;2023;2023-07-21;05:45;495750.907051;441434.8438;210597.4131;52785.845;1200569.008951
2023-07-21T22:45:00+01:00;21;07;2023;2023-07-21;22:45;779770.620416;479282.9798;206077.7665;53078.8748;1518210.241516
2023-07-23T08:30:00+01:00;23;07;2023;2023-07-23;08:30;532198.748972;309780.3105;182954.4838;57847.2016;1082780.744872
2023-07-23T15:00:00+01:00;23;07;2023;2023-07-23;15:00;595017.583158;318420.7783;177428.1433;58943.5032;1149810.0079579998
2023-07-24T18:30:00+01:00;24;07;2023;2023-07-24;18:30;728640.174493;550982.7708;209154.9529;56346.595;1545124.4931929999
2023-07-24T19:15:00+01:00;24;07;2023;2023-07-24;19:15;784744.174534;550068.1654;213673.8307;60100.5876;1608586.758234
2023-07-25T06:45:00+01:00;25;07;2023;2023-07-25;06:45;478633.171673;473312.6452;213557.8367;38100.5944;1203604.2479730002
2023-07-28T15:30:00+01:00;28;07;2023;2023-07-28;15:30;735915.949672;610034.412;209109.6948;58414.455;1613474.511472
2023-07-29T03:30:00+01:00;29;07;2023;2023-07-29;03:30;527591.239593;391865.2644;201042.6492;50776.0968;1171275.249993
2023-07-29T20:00:00+01:00;29;07;2023;2023-07-29;20:00;821241.763815;401974.7939;187590.2745;57098.9282;1467905.760415
2023-07-31T22:00:00+01:00;31;07;2023;2023-07-31;22:00;858204.208095;500768.0768;197462.8341;51827.1216;1608262.240595
2023-08-02T05:30:00+01:00;02;08;2023;2023-08-02;05:30;517405.144675;416815.8068;193504.9625;54640.0818;1182365.995775
2023-08-02T20:30:00+01:00;02;08;2023;2023-08-02;20:30;887656.265534;532394.8995;205053.2344;78309.0976;1703413.497034
2023-08-03T13:45:00+01:00;03;08;2023;2023-08-03;13:45;715771.747372;523461.4612;184957.04;49456.5121;1473646.760672
2023-08-03T23:45:00+01:00;03;08;2023;2023-08-03;23:45;710228.253563;432297.9176;194234.2391;61009.5955;1397770.005763
2023-08-04T12:45:00+01:00;04;08;2023;2023-08-04;12:45;758492.083095;489990.8182;181232.5729;68836.2776;1498551.751795
2023-08-04T15:45:00+01:00;04;08;2023;2023-08-04;15:45;718459.894627;544182.4731;188662.4541;77891.4248;1529196.2466269997
2023-08-05T18:30:00+01:00;05;08;2023;2023-08-05;18:30;761160.891091;392314.8391;177671.0603;71996.4609;1403143.251391
2023-08-08T05:15:00+01:00;08;08;2023;2023-08-08;05:15;564920.311657;398201.808;182871.3055;52262.8295;1198256.254657
2023-08-09T11:30:00+01:00;09;08;2023;2023-08-09;11:30;823366.310028;594630.865;177483.4592;51644.8537;1647125.487928
2023-08-10T13:30:00+01:00;10;08;2023;2023-08-10;13:30;787171.543928;519144.4632;156334.9344;56626.3091;1519277.250628
2023-08-11T03:15:00+01:00;11;08;2023;2023-08-11;03:15;554059.20885;383325.3736;173819.1877;44466.4742;1155670.2443500003
2023-08-11T04:30:00+01:00;11;08;2023;2023-08-11;04:30;536121.039565;378028.9759;170115.5796;59844.1521;1144109.747165
2023-08-11T12:15:00+01:00;11;08;2023;2023-08-11;12:15;844853.266498;528866.0473;171026.7506;57917.4415;1602663.505898
2023-08-12T22:15:00+01:00;12;08;2023;2023-08-12;22:15;869365.862085;361454.5394;176570.2003;49412.3973;1456802.999085
2023-08-12T23:00:00+01:00;12;08;2023;2023-08-12;23:00;814578.431908;343677.9615;177250.3619;50821.7466;1386328.5019079999
2023-08-15T00:45:00+01:00;15;08;2023;2023-08-15;00:45;633274.895733;337172.6455;163645.8595;57092.8447;1191186.245433
2023-08-15T19:45:00+01:00;15;08;2023;2023-08-15;19:45;796522.910072;382986.3797;169275.2552;53185.1956;1401969.740572
2023-08-16T21:30:00+01:00;16;08;2023;2023-08-16;21:30;889411.133345;444743.3115;163596.4999;57615.8137;1555366.758445
2023-08-17T21:45:00+01:00;17;08;2023;2023-08-17;21:45;871766.645159;444692.8839;176593.3348;52353.1366;1545406.000459
2024-01-15T08:00:00+00:00;15;01;2024;2024-01-15;08:00;838157.059752;515377.1059;203689.7717;66533.0273;1623756.964652
2024-01-17T10:30:00+00:00;17;01;2024;2024-01-17;10:30;950867.767467;663822.9669;197630.721;64552.5019;1876873.9572669999
2024-01-21T11:30:00+00:00;21;01;2024;2024-01-21;11:30;959358.275638;281936.7795;179363.2305;83236.4988;1503894.784438
2024-01-22T15:30:00+00:00;22;01;2024;2024-01-22;15:30;981290.650316;678587.4166;206606.8295;88969.3394;1955454.235816
2024-01-23T07:00:00+00:00;23;01;2024;2024-01-23;07:00;722731.340877;471493.2441;215332.406;90268.9869;1499825.9778769999
2024-01-25T11:00:00+00:00;25;01;2024;2024-01-25;11:00;879720.638061;623881.2496;197641.7436;92983.1096;1794226.740861
