Ano;Mês;Data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;Código Distrito;Código Concelho;Código Freguesia;Contrato Ativo
2024;9;2024-09;Aveiro;Sever do Vouga;Silva Escura e Dornelas;Não;60;01;0117;011711;Sim
2024;9;2024-09;Braga;Guimarães;Barco;Não;10;03;0308;030806;Sim
2024;9;2024-09;Viseu;Resende;Cárquere;Sim;487;18;1813;181303;Sim
2024;9;2024-09;Viseu;Sernancelhe;Vila da Ponte;Sim;372;18;1818;181817;Sim
2024;9;2024-09;Vila Real;Vila Real;Nogueira e Ermida;Não;16;17;1714;171435;Sim
2024;9;2024-09;Viana do Castelo;Melgaço;Fiães;Não;6;16;1603;160307;Sim
2024;9;2024-09;Aveiro;Oliveira do Bairro;Oliveira do Bairro;Sim;3680;01;0114;011404;Sim
2024;9;2024-09;Porto;Lousada;Figueiras e Covas;Sim;857;13;1305;130529;Sim
2024;9;2024-09;Beja;Beja;Santa Vitória e Mombeja;Sim;697;02;0205;020523;Sim
2024;9;2024-09;Guarda;Seia;Sandomil;Sim;690;09;0912;091212;Sim
2024;9;2024-09;Guarda;Sabugal;Ruvina, Ruivós e Vale das Éguas;Sim;217;09;0911;091144;Sim
2024;9;2024-09;Viseu;Lamego;Bigorne, Magueija e Pretarouca;Sim;650;18;1805;180526;Sim
2024;9;2024-09;Santarém;Abrantes;São Miguel do Rio Torto e Rossio ao Sul do Tejo;Não;213;14;1401;140124;Sim
2024;9;2024-09;Lisboa;Odivelas;Odivelas;Não;94;11;1116;111603;Sim
2024;9;2024-09;Bragança;Carrazeda de Ansiães;Pereiros;Sim;183;04;0403;040312;Sim
2024;9;2024-09;Braga;Braga;Cabreiros e Passos (São Julião);Não;12;03;0303;030366;Sim
2024;9;2024-09;Aveiro;Vagos;Santo André de Vagos;Sim;1162;01;0118;011810;Sim
2024;9;2024-09;Leiria;Peniche;Ferrel;Sim;3629;10;1014;101406;Sim
2024;9;2024-09;Braga;Guimarães;Gondar;Sim;1181;03;0308;030821;Sim
2024;9;2024-09;Vila Real;Chaves;Vilarelho da Raia;Sim;482;17;1703;170345;Sim
2024;9;2024-09;Braga;Cabeceiras de Basto;Gondiães e Vilar de Cunhas;Sim;270;03;0304;030420;Sim
2024;9;2024-09;Vila Real;Chaves;Vale de Anta;Não;18;17;1703;170341;Sim
